,0,1
58,-33.447692659476175,-30.92931510155177
59,1.9598587298827312,-33.438122277672726
60,-32.86763154347857,-27.6536012568066
61,1.9549685079392485,-33.4465291104914
62,-33.3474124791806,-27.518227789806403
63,-32.85654060433372,-27.65162319037294
64,-32.38087867348538,-29.921213965594074
65,-34.96664747144739,-28.092334279497578
66,-31.746871179581717,-29.884238416115846
67,-32.518624998425366,-29.87316505026467
68,-31.542596832770634,-31.16861194103786
69,-32.345089987533306,-29.908639249121325
70,-34.86793159149592,-28.114864096641686
71,-34.865187285459086,-28.1325561354297
72,-40.93844159574526,-20.58026576136224
73,-52.522758399497135,-16.521650096639974
74,-41.238422132768974,-17.223901722082122
75,-41.03174017149264,-16.796257863437123
76,-52.46204412819753,-19.1324992904631
77,-53.81648028912706,-21.98271765267332
78,-40.92444605874448,-20.61128204427281
79,-54.58650881749752,-15.642604590517498
80,-53.6234462371728,-21.886307254110335
81,-58.061996672041296,-15.952026737479025
82,-55.71287913352942,-14.156617353991667
83,-59.071572599022424,-20.444164748382207
84,-57.52547126249132,-22.54680890882744
85,-56.35936378184615,-20.21120428391592
86,-58.81623838006328,-14.79717562381787
87,-58.88445646727784,-14.775441468586962
88,-52.96244834941049,-18.835141727130083
89,-56.18708784759666,-14.606902737426386
90,-40.59279426540791,-16.6465128543974
91,-41.32039935798003,-16.364400215213507
92,-54.26393239082471,-18.445046958409343
93,-58.87288032554414,-19.0803202589126
94,-58.14994277841291,-16.821561600729012
95,-53.311907504720274,-18.819151446607627
96,-56.2922015665788,-14.554895960564389
97,-56.36231184837477,-14.628329372731635
98,-54.140172527502834,-18.484940778380974
99,-56.55905881309654,-22.24984302178922
100,-58.349969030397844,-16.635582833593137
101,-58.91068368454203,-19.241614308360486
102,-40.02065996981985,-23.719573039099554
103,-39.0588002963749,-23.658708139598076
104,-48.707967234709024,-21.28720732670421
105,-51.47947200317717,-19.837836079315444
106,-54.58543498816194,-16.184300576209793
107,-41.30207866999003,-16.630678332793444
108,-48.72359188653658,-21.284855502347856
109,-37.935243259091756,-23.730502640601873
110,-56.15917769868047,-20.118952988548774
111,-50.79757488879808,-18.152217779989147
112,-58.01022066587778,-18.66492446531627
113,-50.73736583751677,-17.905821999501317
114,-40.106654511177055,-23.727963682761192
115,-41.371478177504066,-16.53456643439394
116,-40.548436161464956,-17.028069710442
117,-53.19276286487477,-21.800183217763927
118,-38.614769630901144,-23.702700621056117
119,-55.016832108548726,-19.585936750262764
120,-58.95797259208155,-14.582851858280831
121,-53.74984669364777,-18.635720427412465
122,-58.91839107199944,-14.732493550050178
123,-52.492270456644526,-16.884775757606647
124,-57.17444796701335,-19.87083052950589
125,-54.553268183081634,-19.627205303705686
126,-42.346671281053275,-16.8708493937243
127,-54.571860233429575,-16.355031042523127
128,-57.51463468941335,-14.834915442625766
129,-56.10960253809855,-19.92821893362442
130,-52.45966724634784,-16.99104531174288
131,-39.43545233618655,-23.659174590170604
132,-56.25168588232283,-14.589547794060596
133,-50.8570862069616,-18.095789006635677
134,-40.08190219051893,-23.726999231585825
135,-40.91843334732144,-20.634535755543435
136,-58.001680279762326,-15.985627309310892
137,-51.68003899575771,-16.66395461555041
138,-55.775651192584846,-20.33307062898176
139,-57.95725595890345,-15.804148245540249
140,-51.765469077930156,-16.441855873523206
141,-40.78512175062209,-16.913271792743572
142,-57.527291684061446,-22.500102289563007
143,-40.15608790440181,-23.731888293906124
